sample_id,specimen_id,alternate_sample_id,length_cm,length_type,weight_kg,sex,maturity,rank,large_marine_ecosystem,haul_date_akt,noncon_lat,noncon_long,nmfs_area
14,1052,,NA,NA,NA,NA,,Best,NA,NA,NA,NA,
19,1053,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,
24,1054,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,
29,1055,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,
32,1056,,NA,NA,NA,NA,,High,NA,NA,NA,NA,
37,1057,,NA,NA,NA,NA,,Low,NA,NA,NA,NA,
46,15,,91,Precaudal Length,6.26,F,,Low,Gulf of Alaska,2021-07-12T00:00:00Z,56.3862,-135.3505,
52,16,,92,Precaudal Length,7.18,F,,High,Gulf of Alaska,2021-07-12T00:00:00Z,56.3862,-135.3505,
58,17,,91,Precaudal Length,6.395,F,,NA,Gulf of Alaska,2021-07-12T00:00:00Z,56.3862,-135.3505,
63,18,,90,Precaudal Length,6.025,F,,Medium,Gulf of Alaska,2021-07-12T00:00:00Z,56.3862,-135.3505,
65,19,,63,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-08-01T00:00:00Z,59.5135,-145.5408,
67,20,,91,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-25T00:00:00Z,58.6853,-140.6417,
69,21,,91,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-19T00:00:00Z,58.4602,-139.609,
71,22,,91,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-19T00:00:00Z,58.464,-139.4703,
73,23,,92,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-18T00:00:00Z,58.1405,-138.738,
75,23,,92,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-18T00:00:00Z,58.1405,-138.738,
76,22,,91,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-19T00:00:00Z,58.464,-139.4703,
77,21,,91,Precaudal Length,NA,F,,High,Gulf of Alaska,2019-07-19T00:00:00Z,58.4602,-139.609,
78,20,,91,Precaudal Length,NA,F,,High,Gulf of Alaska,2019-07-25T00:00:00Z,58.6853,-140.6417,
79,24,,92,Precaudal Length,NA,F,,High,Gulf of Alaska,2019-07-18T00:00:00Z,58.1405,-138.738,
80,24,,92,Precaudal Length,NA,F,,High,Gulf of Alaska,2019-07-18T00:00:00Z,58.1405,-138.738,
82,25,,89,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-18T00:00:00Z,58.1405,-138.738,
83,25,,89,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-18T00:00:00Z,58.1405,-138.738,
85,26,,89,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-14T00:00:00Z,57.1877,-136.2317,
86,26,,89,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-14T00:00:00Z,57.1877,-136.2317,
88,27,,94,Precaudal Length,NA,F,,High,Gulf of Alaska,2019-07-12T00:00:00Z,56.381,-135.5292,
89,27,,94,Precaudal Length,NA,F,,High,Gulf of Alaska,2019-07-12T00:00:00Z,56.381,-135.5292,
91,28,,87,Precaudal Length,NA,F,,High,Gulf of Alaska,2019-07-10T00:00:00Z,55.9307,-134.9047,
92,28,,87,Precaudal Length,NA,F,,High,Gulf of Alaska,2019-07-10T00:00:00Z,55.9307,-134.9047,
94,29,,85,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-06T00:00:00Z,54.4623,-133.918,
95,29,,85,Precaudal Length,NA,F,,High,Gulf of Alaska,2019-07-06T00:00:00Z,54.4623,-133.918,
97,30,,89,Precaudal Length,NA,F,,High,Gulf of Alaska,2019-07-05T00:00:00Z,54.6483,-132.844,
98,30,,89,Precaudal Length,NA,F,,Medium,Gulf of Alaska,2019-07-05T00:00:00Z,54.6483,-132.844,
166,58,,NA,NA,NA,NA,,Medium,NA,NA,NA,NA,
603,231,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,
609,232,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,
615,233,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,
621,234,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,
792,326,,84,Precaudal Length,NA,F,,NA,NA,NA,NA,NA,
793,326,,84,Precaudal Length,NA,F,,NA,NA,NA,NA,NA,
795,327,,88,Precaudal Length,NA,F,,NA,NA,NA,NA,NA,
796,327,,88,Precaudal Length,NA,F,,NA,NA,NA,NA,NA,
802,328,,90,Precaudal Length,NA,F,,NA,NA,NA,NA,NA,
804,329,,90,Precaudal Length,NA,F,,NA,NA,NA,NA,NA,
805,329,,90,Precaudal Length,NA,F,,NA,NA,NA,NA,NA,
807,330,,66,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
808,330,,66,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
810,331,,73,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
811,331,,73,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
813,332,,69,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
814,332,,69,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
816,333,,69,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
818,334,,67,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
820,335,,63,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
822,336,,71,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
824,337,,64,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
826,338,,70,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
828,339,,65,Precaudal Length,NA,M,,NA,NA,NA,NA,NA,
844,347,,80,Precaudal Length,NA,F,,NA,NA,NA,NA,NA,
